word	postive count	negative count	totalscore	accuracy
	99	81	18	0.55
yellow	0	1	-1	1.0
four	4	1	3	0.8
woods	1	2	-1	0.666666666667
hanging	0	1	-1	1.0
woody	3	1	2	0.75
aggression	0	1	-1	1.0
conjure	0	2	-2	1.0
someplace	1	0	1	1.0
mutinies	0	1	-1	1.0
meadows	1	0	1	1.0
shaving	0	1	-1	1.0
courtmartial	1	0	1	1.0
forties	0	1	-1	1.0
leisurely	1	0	1	1.0
screaming	0	1	-1	1.0
disturb	1	0	1	1.0
sommerset	0	1	-1	1.0
kitcar	1	0	1	1.0
differentiates	0	1	-1	1.0
stereotypical	1	1	0	0.5
commented	1	0	1	1.0
charter	0	1	-1	1.0
milles	1	0	1	1.0
bacon	1	0	1	1.0
tires	0	1	-1	1.0
second	7	8	-1	0.533333333333
francesca	0	1	-1	1.0
theory	3	0	3	1.0
sesame	1	0	1	1.0
bufford	0	5	-5	1.0
dialogs	1	0	1	1.0
bittorrent	1	0	1	1.0
ruthless	2	2	0	0.5
cooking	1	0	1	1.0
fingers	2	0	2	1.0
succumb	1	0	1	1.0
hero	2	5	-3	0.714285714286
dahl	1	0	1	1.0
reporter	1	1	0	0.5
error	1	0	1	1.0
here	16	0	16	1.0
hers	3	0	3	1.0
kids	4	4	0	0.5
k	0	1	-1	1.0
transfixed	1	0	1	1.0
natures	1	0	1	1.0
military	1	1	0	0.5
criticism	1	0	1	1.0
golden	2	0	2	1.0
explained	1	0	1	1.0
brought	4	0	4	1.0
cheating	0	1	-1	1.0
spoke	1	2	-1	0.666666666667
poetype	0	1	-1	1.0
antieye	0	1	-1	1.0
music	2	2	0	0.5
therefore	1	5	-4	0.833333333333
strike	0	2	-2	1.0
until	8	3	5	0.727272727273
brings	5	1	4	0.833333333333
hurt	1	2	-1	0.666666666667
meteorologist	0	1	-1	1.0
glass	1	0	1	1.0
91	0	1	-1	1.0
90	0	3	-3	1.0
hold	3	1	2	0.75
circumstances	1	0	1	1.0
morally	0	1	-1	1.0
pursue	0	1	-1	1.0
blade	1	0	1	1.0
example	3	3	0	0.5
organized	0	1	-1	1.0
charlton	2	0	2	1.0
caution	0	1	-1	1.0
want	18	7	11	0.72
absolute	3	0	3	1.0
hoe	0	2	-2	1.0
turn	2	2	0	0.5
travel	0	2	-2	1.0
feature	0	2	-2	1.0
machine	1	0	1	1.0
how	37	21	16	0.637931034483
hot	7	3	4	0.7
machina	0	1	-1	1.0
place	3	4	-1	0.571428571429
typed	1	0	1	1.0
wrong	3	5	-2	0.625
types	2	0	2	1.0
fictional	1	0	1	1.0
tulip	3	0	3	1.0
18th	0	1	-1	1.0
keeps	4	1	3	0.8
wing	1	0	1	1.0
wind	1	0	1	1.0
dolemite	1	0	1	1.0
welcomed	0	1	-1	1.0
dreamed	0	1	-1	1.0
confederate	1	2	-1	0.666666666667
welcomes	1	0	1	1.0
lovingly	0	1	-1	1.0
fit	0	4	-4	1.0
bringing	2	0	2	1.0
fix	1	0	1	1.0
survivors	1	0	1	1.0
sadomania	0	1	-1	1.0
hidden	1	1	0	0.5
glorify	1	0	1	1.0
pontificating	0	1	-1	1.0
effects	1	4	-3	0.8
schools	1	0	1	1.0
sixteen	0	1	-1	1.0
represents	1	0	1	1.0
simialr	1	0	1	1.0
debut	0	2	-2	1.0
barton	1	0	1	1.0
volcano	1	0	1	1.0
loyalties	0	1	-1	1.0
burial	1	0	1	1.0
preceded	1	0	1	1.0
financial	3	0	3	1.0
archetypes	1	0	1	1.0
series	12	3	9	0.8
allan	0	1	-1	1.0
saturdayafternoon	1	0	1	1.0
ring	0	1	-1	1.0
whoosh	0	1	-1	1.0
mason	0	1	-1	1.0
re	1	0	1	1.0
adapt	0	1	-1	1.0
outburst	1	0	1	1.0
gertrude	2	0	2	1.0
knit	1	0	1	1.0
enormous	1	0	1	1.0
ate	1	0	1	1.0
atm	0	1	-1	1.0
fleischer	1	0	1	1.0
disturbed	2	0	2	1.0
coeds	1	0	1	1.0
tempting	0	1	-1	1.0
flitting	0	1	-1	1.0
holbrook	1	0	1	1.0
playfully	1	0	1	1.0
wash	1	0	1	1.0
popularist	0	1	-1	1.0
cubbyhouse	0	1	-1	1.0
bitten	1	0	1	1.0
carson	1	0	1	1.0
service	1	3	-2	0.75
returns	0	1	-1	1.0
needed	1	1	0	0.5
master	3	2	1	0.6
hewitt	1	0	1	1.0
geneva	0	1	-1	1.0
showed	1	1	0	0.5
rusty	0	1	-1	1.0
nations	0	1	-1	1.0
project	1	1	0	0.5
idle	0	1	-1	1.0
sheen	1	0	1	1.0
feeling	3	7	-4	0.7
boston	1	0	1	1.0
corny	1	0	1	1.0
alive	1	0	1	1.0
dozen	0	1	-1	1.0
divas	0	1	-1	1.0
responsible	1	2	-1	0.666666666667
causing	0	1	-1	1.0
amusing	0	2	-2	1.0
shall	1	0	1	1.0
object	1	1	0	0.5
cinematic	1	0	1	1.0
victoria	1	0	1	1.0
mouth	2	1	1	0.666666666667
letter	2	0	2	1.0
drought	1	0	1	1.0
thriller	1	2	-1	0.666666666667
morality	0	1	-1	1.0
singer	1	1	0	0.5
episode	5	8	-3	0.615384615385
released	3	2	1	0.6
camp	7	3	4	0.7
tech	1	0	1	1.0
mating	1	0	1	1.0
came	4	3	1	0.571428571429
saying	6	2	4	0.75
twee	0	1	-1	1.0
lessons	1	1	0	0.5
orleans	3	0	3	1.0
busy	1	4	-3	0.8
quaint	1	1	0	0.5
