Word	Value
loved	2
love	1
enjoy	1
enjoyed	2
enjoyable	2
good	1
cool	1
impressive	1
lugubrious	-2
excellent	2
bad	-1
terrible	-2
horrible	-2
fun	1
excellence	2
dull	-2
addicted	1
addicting	2
rubbish	-2
trash	-2
garbage	-2
overpriced	-2
waste	-1
cheesy	-1
trashy	-1
great	1
amazing	2
lame	-2
exciting	1
gratuitous	1
serious	1
wondrously	2
stirring	1
thrilling	2
mediocre	-2
lousy	-2
middling	-1
average	-1
boring	-2
masterpiece	2
laughable	-2
disaster	-1
crisis	-1
stupid	-1
ridiculous	-1
hate	-1
clumsy	-1
insulting	-2
inept	-2
worst	-2
worthless	-1
decent	1
disappointing	-2
cheap	-1
uninspired	-2
dumb	-2
uninteresting	-2
yawn	-2
incredible	1
engrossing	1
mustsee	2
superb	2
fantastic	1
stinks	-1
retarded	-2
favorite	1
favourite	1
rocks	1
outrage	-1
weak	-1
pants	-1
unfunny	-2
pity	-1
tacky	-1
tackier	-1
overshadowed	-1
redeeming	1
thanks	1
impacted	1
liked	1
nicely	1
awesome	2
remarkable	2
best	1
entertaining	1
talented	1
creative	1
entertainment	1
gem	2
hooked	2
glad	1
touching	1
awful	-2
endure	-1
genuine	1
bravo	2
timeless	1
inaccurate	-1
misleading	-1
recommend	1
disgraceful	-2
disrespectful	-2
predictable	-1
time	-1
bmovie	-1
ludicrous	-2
classic	1
beautifully	2
beautiful	2
refreshing	1
treat	1
masterfully	2
interesting	1
inspired	1
pro	1
absurdity	-1
farfetched	-2
disown	-2
pretentious	-2
worth	1
letdown	-1
unnecessary	-1
unnecessarily	-1
slimy	-2
offensive	-2
porn	-2
overrated	-2
underrated	2
tedious	-1
successfully	1
miserable	-2
spliced	-1
loosely	-1
nonstop	1
amazed	1
mockery	-1
better	-1
shoddily	-1
nonexistent	-1
bore	-2
bliss	1
touching	1
fatigue	-1
stiff	-1
tasteless	-2
mesmerizing	1
ridicule	-1
vomited	-2
pointless	-1
wastes	-1
sloppy	-1
porno	-2
worthwhile	1
inbred	-1
ashamed	-1
incompetent	-1
poison	-1
flawless	2
crashes	-1
sleep	-2
propoganda	-2
hilarious	1
sincere	1
likable	1
applaud	1
interested	1
absurd	-2
captivate	1
saved	1
distraction	-2
dreadful	-1
petty	-1
uneven	-1
unlikeable	-1
wooden	-1
obvious	-1
grotesque	-2
nasty	-1
robbing	-1
laughed	1
squandering	-1
drawn	1
invested	1
blah	-1
critical	-1
thoughtprovoking	1
amateurish	-1
greatest	1
successful	1
rewarding	1
delight	1
tremendous	1
accurate	1
impressed	1
compelling	1
refinement	1
clever	1
disappointed	-1
compassionate	1
highlight	1
believable	1
engaging	1
fluff	-2
perfect	1
intriguing	1
confusing	1
humiliation	-1
poor	-2
hoax	-1
poorly	-1
routine	-1
low	-1
bandwagon	-1
wonderful	2
overwrought	-1
yuck	-1
howlers	-1
ridiculously	-1
exploited	-1
treasure	1
avoid	-2
nonsense	-1
repetitious	-2
subverted	-1
amusement	1
courage	1
failed	-1
wow	1
pumping	1
annoying	-2
painful	-2
butt	-1
ass	-1
pain	-1
static	-1
incoherent	-2
tired	-1
losers	-1
loser	-1
insult	-2
cringe	-2
magnificent	2
quality	1
disappoints	-1
charming	1
disappointment	-1
splendid	2
lovely	1
beauty	1
perfection	2
intricate	1
drivel	-2
brainwashed	-1
foul	-2
nauseating	-2
intense	1
asleep	-2
brilliant	2
strong	1
dynamic	1
unappetizing	-1
genius	2
wellmade	1
struggle	-1
spectacular	1
hackneyed	-1
embarrassed	-2
mumbling	-1
original	1
satisfying	2
evocative	1
crisp	1
