id	sentiment	words
"1116_9"	1	"Did Sandra (yes, she must have) know we would still be here for her some nine years later?<br /><br />See it if you haven't, again if you have; see her live while you can."
"12062_10"	1	"This film has been scaring me since the first day I saw it.<br /><br />My Mum had watched it when it was on the telly back in '92. I remember being woken up in the middle of the night by her tearful ramblings as my Dad helped her up the stairs.<br /><br />She was saying something like \"Don't let her get me\" or something like that. I asked what had made her so upset and she told me that she'd been watching The Woman in Black.<br /><br />So obviously i had to watch it and even though i was only eleven she let me. It scared the s*** out of me. I've been immune to horror films since watching this!"
"4638_10"	1	"I saw this movie when I was in Israel for the summer. my Hebrew is not fluent, so the subtitles were very useful, I didn't feel lost at any point in the movie. You tend to get used to subtitles after about 5 minutes.<br /><br />This movie blew me away!!!!!! It depicts two of the most prominent taboos in the middle east today: A homosexual relationship between an Israeli and a Palestinian. It allows a person to enter both realms of the conflict simultaneously. The dilemma, the emotions entailed. The movie climaxes in tragedy when anger and rage drive one of the lovers to one extremist side! an absolute must see!!"
"6234_1"	0	"Not even Goebbels could have pulled off a propaganda stunt like what Gore has done with this complete piece of fiction. This is a study in how numbers and statistics can be spun to say whatever you have predetermined them to say. The \"scientists\" Gore says have signed onto the validity of global warming include social workers, psychologists and psychiatrists. Would you say a meteorologist is an expert in neuro-surgery? The field research and data analysis geologists are involved in do not support Gores alarmist claims of global warming. As one of those geologists working in the field for the last 40 years I have not seen any evidence to support global warming. My analysis of this movie and Gores actions over the last couple years brings me to the conclusion that global warming is his way of staying important and relevant. No more, no less. Ask any global warming alarmist or \"journalist\" one simple question- You say global warming is a major problem. Tell me. What temperature is the Earth supposed to be?"
"9872_10"	1	"Once again the two bickering professors must join together to save the lost world. The five members of the first expedition return (see The Lost World, 1992, for a list of actors). A man seeking oil brings a drilling crew to the plateau. Instead of striking oil they tap an underground volcano which threatens all life in the Lost World. The oil crew clash with the native people and the scientific expedition. Although the situation looks hopeless.... (I'm not going to tell you the ending)."
"2361_10"	1	"I am one of Jehovah's Witnesses and I also work in an acute care medical facility. Over the years I have seen people die from hemolytic reactions to blood transfusions, have attended numerous conferences on blood born pathogens, and have seen several patients become seriously ill from pathogens induced by transfused blood. I have also heard several Jehovah's Witnesses being told that they will die if they refuse blood and after 26 years in the field I have never actually seen it happen, leaving the question, \"is it really unreasonable to refuse blood transfusions or is the community at large benefiting from the battle on this issue?\" The issue for Jehovah's Witnesses is a moral one. \"You must abstain from blood\" is not an ambiguous statement. Thank you for this movie and allowing comments on it."
"9256_10"	1	"My wife and I have watched this movie twice. Both of us used to be in the Military. Besides being funny as hell, it offers a very realistic view of life in the Navy from the perspective of A Navy enlisted man, and tells it \"like it really is\". We're adding this movie to our permanent collection !"
"3842_3"	0	"Our teacher showed us this movie in first grade. I haven't seen it since. I just watched the trailer though. Does this look like a first grade movie to you? I don't think so. I was so horrified by this movie, I could barely watch it. It was mainly the scene with Shirley McClain cutting that little girl in half, and then there was the boy with ketchup! I was freaked out by this film. Now today, being 20, I probably would not feel that way. I just wanted to share my experience and opinion that maybe small children shouldn't see this movie, even though it's PG. Be aware of the possible outcomes of showing this to kids. I don't even remember what it was about, once was enough!"
"6353_10"	1	"what can i say. oh yeah those freaking fingers are so weird. they scare the heck out of me. but it is such a funny film, Jim Carrey works the grinch. if you havent already seen it then what you waiting for an invitation. go, go and get watch it. you dont know what your missing."
"7704_10"	1	"Certain elements of this film are dated, of course. An all white male crew, for instance. And like most Pre-Star Wars Science Fiction, it tends to take too long admiring itself.<br /><br />But, still, no movie has ever capture the flavor of Golden Age Science Fiction as this one did, even down to the use of the \"electronic tonalities\" to provide the musical score. Robbie the Robot epitomized the Asimov robots, and was the inspiration for all that followed, from C3PO to Data.<br /><br />The plot line, of course, is Shakespeare's \"The Tempest\". Morbius is Prospero, and exiled wizard who finds his kingdom invaded by interlopers... It was a movie that treated Science Fiction as an adult genre, perhaps the first."
"9755_2"	0	"This 1974 Naschy outing is directed by Leon Klimovsky, and a cursory glance at the publicity photos and packaging might lead you to believe that this medieval romp lies somewhere between \"Inquisition\" and \"Sadomania\". Sadly not.<br /><br />This is a strictly PG affair with tame torture sequences, no nudity and little edge at all. Naschy (of whom I am a fan) struts his stuff as Gilles de Lancre, \"antiguo Mariscal de la nacion\". Sadly he is more pantomime villain than anything else. One gets the feeling with this film that we have seen him (and it) done all before. Strictly therefore for Naschy completest only."
"5033_3"	0	"Murders are occurring in a Texas desert town. Who is responsible? Slight novelties of mystery and racial tensions (the latter really doesn't fit), but otherwise strictly for slasher fans, who will appreciate the gore and nudity, which are two conventional elements for these films.<br /><br />Dana Kimmell (of FRIDAY THE 13TH PART 3 infamy) stars as the bratty quasi-detective teen.<br /><br />*1/2 out of ****<br /><br />MPAA: Rated R for violence and gore, nudity, and some language."
"4927_8"	1	"Just a comment on New Orleans accents...<br /><br />An earlier reviewer noted the following: \"This film, could have been shot in New York, or another Northern big city because it presents us with characters that speak more like \"broklynese\" than maybe a Southern accent one might hear in that part of the country.\" There was also another comment along these lines from an English reviewer.<br /><br />Many people in New Orleans do, in fact, sound \"broklynese\". I have never found out why. (It's mentioned in \"A Confederacy of Dunces\" by John Kennedy Toole.) I always appreciate movies taking place in New Orleans that include this detail, as this one did. Too often it's just the Hollywood version of the standard Southern accent."
"9649_9"	1	"Screened at the San Francisco International Film Festival under the title ' Come Undone', April 25, 26, & 27, 2001. The cinematographer uses techniques that add to the storytelling. Even with fall/winter backgrounds for the 'present' and spring summer for the 'flashbacks' there can be some difficulty following the continuity.<br /><br />Whether either lead is gay, the actors well-portray the budding relationship in real life terms; from physical violence toward each other to their passionate lovemaking. The story pulls you into the characters a bit slowly in the beginning. But as the end approaches, you really care about where these guys will be next summer! You, too, will want a sequel to find out."
"8265_10"	1	"The name of this film alone made me want to see just what it was all about, so I taped this film during the early hours of the AM. If you ever wanted to see what miners had to go through during the early days and actually see a dramatic scene when the mine crumbles in on the men. This film clearly wants to show that Germany and France can work together and be friends after WW I and how the Germans came to the aid of the French miners much to the unbelief of the French townsfolk. The actors were all outstanding, with unusual scenes in the mine with a horse and a small young boy who worked in the mine. There is an old old retired miner who manges to go down the mine by ladder when the elevator breaks down. If you are a real film buff, this is a film you will not want to miss."
"10986_10"	1	"We stumbled upon the documentary, Grey Gardens, last Sunday and got \"sucked in\" without warning. Everyone who entered the room became transfixed on the television and the haunting images of Edith and Edie who seemed to be living out their lives in practically one room of a large filthy mansion on the beach, eating ice cream and corn on the cob (which was cooked on the bedside table)--and the cat urinating on edith's bed and her unbelievable words, \"i thrive on it [the smell].\" We had not seen the beginning and wondered what we were watching and how these aristocratic women managed to get in the position they were in. Spellbinding! a must see!!!!"
"8213_4"	0	"I can't believe it, IMDb really does have every TV show known to man! I have not seen this show in over 20 years. I only remember two episodes, and I barely remember those. I remember that Tony may not been on from the start, because one of the episodes I remember is the one in which everybody trying to get Tony to join, but he rejects them, but typically at the end of the show he becomes a member of Power House, with everybody cheering.<br /><br />The other one I remember is the one where Lolo for some reason pretends to be dead,(complete with funeral and mourners). I don't remember why he plays dead, or how the show ends.<br /><br />This is one of those shows that I convinced myself that I must have dreamed up since no one else had ever heard of it."
"4283_10"	1	"A milestone in Eastern European film making and an outstanding example of Serbian mentality. A group of completely different people are doomed to die because of their discord. With \"Maratonci trce pocasni krug\" makes two mythological movies everyone here knows word by word."
"11465_7"	1	"This film is scary because you can find yourself relating to ideas they have and can recall other people saying and having simialr ideas make this a haunting well done movie.... the camra style is not shakey to point it draws you out of film like blair witch it only adds to the raw \"real\" feeling of the film that makes it."
