word	value
	0	52.4286975947
fawn	-6	100.0
nunnery	-6	100.0
ripper1982	3	100.0
sonja	-3	92.6829268293
gag	0	55.1020408163
shaudenfraud	-3	100.0
woods	-1	74.8466257669
spiders	-3	90.9090909091
nohopers	-3	100.0
hanging	0	53.4482758621
ultimatley	-3	100.0
woody	-1	69.6629213483
trawling	-3	100.0
comically	-1	68.1818181818
localized	0	50.0
schlegel	3	100.0
movietv	0	50.0
canes	0	50.0
legendseddie	-3	100.0
fariks	3	100.0
mooded	3	100.0
refunding	-3	100.0
gigglefits	-3	100.0
rickman	2	85.7142857143
brodsk	3	100.0
shte	3	100.0
neckwill	3	100.0
8mms	-3	100.0
tourister	-3	100.0
tvproductions	3	100.0
transvestism	-6	100.0
hogansbr	-3	100.0
snitsky	3	100.0
fullblooded	3	100.0
screaming	-1	69.6428571429
dascenzo	-3	100.0
wooded	0	62.5
receiving	0	55.7692307692
grueling	0	52.9411764706
harville	0	50.0
wooden	-2	83.75
wednesday	0	52.9411764706
virtuosos	3	100.0
torsoandleg	-3	100.0
crotch	-2	80.0
elgar	3	100.0
howinthehell	-3	100.0
whithers	3	100.0
busybody	-3	100.0
27%	-3	100.0
pizzle	-3	100.0
lisas	2	80.0
yeungs	-3	100.0
274	3	100.0
schultzs	3	100.0
sh1t	-3	100.0
278	-3	100.0
mdmireles1295	-3	100.0
snuggled	3	100.0
noirthe	3	100.0
inanimate	0	54.5454545455
phillipino	-2	83.3333333333
errors	-1	72.0720720721
dialogs	-1	66.9291338583
opportunists	3	100.0
dialoge	0	50.0
usenet	-3	100.0
videodrome	2	83.3333333333
designing	-2	81.8181818182
juvees	-3	100.0
spidery	3	100.0
preparating	3	100.0
merrygorounds	3	100.0
disobeying	-3	100.0
rocque	6	100.0
perforations	3	100.0
brainwashed	-1	60.0
affiliates	-1	66.6666666667
quagmires	-3	100.0
perfunctorily	-3	100.0
oscarhungry	-3	100.0
kurupt	-3	100.0
affiliated	0	60.0
brainwashes	-3	100.0
confronts	0	68.1818181818
captaincyborgmad	-3	100.0
finkel	-3	100.0
everluscious	3	100.0
kids	0	50.4282655246
uplifting	2	81.4814814815
gothpunk	-6	100.0
kidz	-3	100.0
controversy	0	69.3548387097
kida	-3	100.0
silentmovie	0	50.0
kidd	-1	75.0
crowdpleasing	0	55.5555555556
nrashootemup	-3	100.0
neurologist	3	100.0
chuckies	-3	100.0
tootling	-3	100.0
spotty	-2	85.7142857143
kusters	-3	100.0
anycow	-3	100.0
kibitzergeneral	3	100.0
cobblers	0	50.0
projection	0	51.5151515152
contessas	-3	100.0
fastforwarding	-2	87.5
garter	-3	100.0
mcilwraith	0	50.0
stern	0	53.8461538462
ultralovely	3	100.0
e7	3	100.0
worlock	3	100.0
dna	0	56.25
dnc	-3	100.0
insecurity	2	81.25
damonjude	3	100.0
longjohns	3	100.0
exviet	3	100.0
sidebars	-3	100.0
e3	0	50.0
distortions	0	50.0
sermons	-1	60.0
boobage	-2	80.0
unlearnable	3	100.0
populations	3	100.0
mesmerize	0	50.0
atodds	-3	100.0
yahoo	-1	66.6666666667
exuberantly	3	100.0
movieto	-3	100.0
eggar	3	100.0
boorman	-1	64.2857142857
rhetts	6	100.0
foiegras	3	100.0
zlatorog	-3	100.0
echelon	3	100.0
dorffs	-3	100.0
retrocognition	-3	100.0
blustering	1	75.0
listenin	-3	100.0
prozor	3	100.0
intake	6	100.0
morally	0	51.724137931
scifis	0	50.0
gershon	-1	71.4285714286
reallyreally	3	100.0
burroughsesque	-3	100.0
monstersplatting	3	100.0
expressively	3	100.0
sororitystyle	-3	100.0
curlywannabegonecompletelywrong	-3	100.0
wana	-3	100.0
wang	1	70.8333333333
wand	0	66.6666666667
pints	-1	66.6666666667
jidaigeki	-3	100.0
disparagement	3	100.0
titanium	0	50.0
want	0	55.929844098
rayon	-3	100.0
pinto	0	50.0
stationsofthecross	-3	100.0
miniatureset	-3	100.0
lappland	0	50.0
duniya	3	100.0
nervesbr	-3	100.0
